Team,HCA
West Virginia,4.6
TCU,4.4
Utah,4.4
New Mexico,4.4
Texas Tech,4.2
Wake Forest,4.1
BYU,4.1
Utah St.,4
Oklahoma,4
Bradley,4
Rutgers,4
Oklahoma St.,3.9
Saint Louis,3.9
St. Bonaventure,3.9
Auburn,3.9
Colorado,3.9
Nevada,3.9
Kansas,3.9
Arkansas,3.9
Kansas St.,3.9
Evansville,3.8
Iowa St.,3.8
Middle Tennessee,3.8
Colorado St.,3.8
Mississippi St.,3.7
Connecticut,3.7
Indiana St.,3.7
Cincinnati,3.7
UTEP,3.7
Grand Canyon,3.7
Illinois St.,3.6
Maryland,3.6
Baylor,3.6
Denver,3.6
Tulsa,3.6
Western Kentucky,3.6
South Dakota St.,3.6
North Carolina,3.6
Tennessee,3.6
Georgia,3.6
Team,HCA
Villanova,3.6
Memphis,3.6
Virginia,3.5
Loyola Chicago,3.5
Arizona,3.5
Nebraska Omaha,3.5
Alabama,3.5
Texas,3.5
Kentucky,3.5
Purdue,3.5
Tennessee St.,3.5
Iowa,3.5
Oregon St.,3.5
Missouri,3.5
Virginia Tech,3.5
Penn St.,3.5
Charlotte,3.4
Nebraska,3.4
New Mexico St.,3.4
Marquette,3.4
San Diego St.,3.4
Utah Valley,3.4
Drake,3.4
LSU,3.4
Wyoming,3.4
North Carolina Central,3.4
North Carolina A&T,3.4
Clemson,3.4
Howard,3.4
Ohio St.,3.4
Missouri St.,3.4
UAB,3.4
UCLA,3.4
Xavier,3.4
Creighton,3.4
Oregon,3.4
Northern Iowa,3.4
California,3.3
Boise St.,3.3
Ohio,3.3
Team,HCA
UCF,3.3
North Texas,3.3
SMU,3.3
Norfolk St.,3.3
Dayton,3.3
USC,3.3
Milwaukee,3.3
Air Force,3.2
N.C. State,3.2
Oral Roberts,3.2
Duke,3.2
Southeast Missouri,3.2
Washington St.,3.2
DePaul,3.2
Michigan St.,3.2
East Carolina,3.2
Southern,3.2
Tarleton St.,3.2
Massachusetts,3.2
Louisville,3.2
Houston,3.2
La Salle,3.2
FIU,3.2
Eastern Kentucky,3.2
South Carolina,3.2
George Mason,3.2
Montana St.,3.2
Hampton,3.2
Marshall,3.2
South Dakota,3.2
St. Thomas,3.2
Cleveland St.,3.2
Louisiana Tech,3.2
Stanford,3.1
William & Mary,3.1
Weber St.,3.1
Kennesaw St.,3.1
Arizona St.,3.1
Indiana,3.1
San Jose St.,3.1
Team,HCA
Boston College,3.1
Miami OH,3.1
St. John's,3.1
UNLV,3.1
Maryland Eastern Shore,3.1
Saint Joseph's,3.1
Syracuse,3.1
Cal Baptist,3.1
Illinois,3.1
Providence,3.1
Drexel,3.1
Eastern Michigan,3.1
Northern Kentucky,3.1
Little Rock,3.1
Southern Illinois,3.1
Florida Atlantic,3.1
Stephen F. Austin,3.1
Monmouth,3.1
Wichita St.,3
Michigan,3
Seattle,3
Delaware St.,3
Old Dominion,3
Seton Hall,3
Southern Utah,3
Portland St.,3
Southern Miss,3
Vanderbilt,3
Washington,3
Georgia St.,3
Butler,3
Minnesota,3
Coastal Carolina,3
Florida,3
Western Illinois,3
Alabama A&M,3
Florida St.,3
Montana,2.9
Valparaiso,2.9
Wright St.,2.9
Team,HCA
Jacksonville,2.9
Texas A&M,2.9
George Washington,2.9
Youngstown St.,2.9
Murray St.,2.9
VCU,2.9
Charleston,2.9
Cal St. Bakersfield,2.9
Detroit Mercy,2.9
Iona,2.9
Temple,2.9
Lamar,2.9
Liberty,2.9
Sam Houston St.,2.9
Pittsburgh,2.9
Kansas City,2.9
Gonzaga,2.9
Richmond,2.9
UTSA,2.8
Central Arkansas,2.8
Troy,2.8
Wisconsin,2.8
Utah Tech,2.8
Duquesne,2.8
UNC Wilmington,2.8
Robert Morris,2.8
Western Carolina,2.8
South Carolina St.,2.8
James Madison,2.8
Abilene Christian,2.8
Morgan St.,2.8
Notre Dame,2.8
Mississippi,2.8
High Point,2.8
South Florida,2.8
Bucknell,2.8
Green Bay,2.7
North Alabama,2.7
North Dakota,2.7
Northwestern,2.7
Team,HCA
Northern Arizona,2.7
San Francisco,2.7
Bryant,2.7
Florida A&M,2.7
Miami FL,2.7
Buffalo,2.7
UNC Asheville,2.7
Georgia Tech,2.7
Illinois Chicago,2.7
Furman,2.7
Lindenwood,2.7
Siena,2.7
Samford,2.7
Appalachian St.,2.7
McNeese,2.7
Nicholls,2.7
SIUE,2.7
Northern Colorado,2.7
Texas A&M Corpus Chris,2.7
Queens,2.7
Georgetown,2.7
Western Michigan,2.7
West Georgia,2.7
Campbell,2.7
Mercer,2.7
North Dakota St.,2.7
Davidson,2.7
Belmont,2.7
Loyola Marymount,2.6
Saint Mary's,2.6
Saint Peter's,2.6
Morehead St.,2.6
North Florida,2.6
Rhode Island,2.6
Alcorn St.,2.6
Oakland,2.6
Purdue Fort Wayne,2.6
Kent St.,2.6
Bowling Green,2.6
Idaho,2.6
Team,HCA
Tennessee Tech,2.6
Texas Southern,2.6
Akron,2.6
Southern Indiana,2.6
Arkansas St.,2.6
Austin Peay,2.6
Binghamton,2.6
Winthrop,2.6
UT Rio Grande Valley,2.6
IU Indy,2.6
Ball St.,2.6
The Citadel,2.6
Cal Poly,2.6
Idaho St.,2.6
East Tennessee St.,2.6
Tulane,2.6
Texas St.,2.6
Jackson St.,2.6
Georgia Southern,2.6
Prairie View A&M,2.5
Maine,2.5
Towson,2.5
